order_id,customer_id,product,category,price,quantity,city,date,total_amount,price_level,city_code
1001,C101,laptop,Tech,55000,1,Delhi,2024-01-05,55000,High,D
1002,C102,phone,Tech,20000,2,Mumbai,2024-01-06,40000,Medium,M
1003,C103,shoes,Fashion,3000,1,Pune,2024-01-07,3000,Low,P
1004,C101,headphones,Tech,2000,3,Delhi,2024-01-07,6000,Low,D
1005,C104,tshirt,Fashion,800,2,Bangalore,2024-01-08,1600,Low,B
1006,C105,watch,Accessories,2500,1,Chennai,2024-01-09,2500,Low,C
1007,C102,laptop,Tech,60000,1,Mumbai,2024-01-10,60000,High,M
1008,C106,backpack,Accessories,1500,2,Delhi,2024-01-10,3000,Low,D
1009,C103,phone,Tech,18000,1,Pune,2024-01-11,18000,Medium,P
1010,C104,shoes,Fashion,3500,1,Bangalore,2024-01-11,3500,Low,B
